"year","month","weeks_charted","high","artist","title","genre","bpm","length"
2000,9,28,1,"Destiny's Child","Independent Women Part I","Rock",85,218
2000,2,26,1,"Santana","Maria, Maria","Rock",110,258
1999,10,33,1,"Savage Garden","I Knew I Loved You","Rock",85,247
2000,8,24,1,"Madonna","Music","Rock",119,225
2000,8,21,1,"Christina Aguilera","Come On Over Baby (All I Want Is You)","Rock",118,218
2000,6,24,1,"Janet","Doesn't Really Matter","Rock",99,257
1999,12,32,1,"Destiny's Child","Say My Name","Rock",138,271
2000,4,20,1,"Enrique Iglesias","Be With You","Latin",121,216
2000,6,26,1,"Sisqo","Incomplete","Rock",120,232
1999,6,55,1,"Lonestar","Amazed","Country",139,265
2000,5,25,1,"N'Sync","It's Gonna Be Me","Rock",82,190
1999,11,24,1,"Christina Aguilera","What A Girl Wants","Rock",71,198
2000,1,41,1,"Vertical Horizon","Everything You Want","Rock",93,241
2000,5,47,1,"Creed","With Arms Wide Open","Rock",70,232
2000,3,32,1,"Aaliyah","Try Again","Rock",116,243
2000,4,39,1,"matchbox twenty","Bent","Rock",95,252
1999,12,20,1,"Mariah Carey","Thank God I Found You","Rock",129,254
1999,11,53,2,"Faith Hill","Breathe","Rap",136,244
2000,8,30,2,"Mya","Case Of The Ex (Whatcha Gonna Do)","Rock",98,230
2000,9,28,2,"Dream","He Loves U Not","Rock",77,223
2000,3,37,2,"Toni Braxton","He Wasn't Man Enough","Rock",88,261
2000,2,32,2,"Marc Anthony","You Sang To Me","Latin",83,230
2000,8,20,2,"98°","Give Me Just One Night (Una Noche)","Rock",123,204
2000,5,32,3,"Destiny's Child","Jumpin' Jumpin'","Rock",88,228
2000,4,53,3,"3 Doors Down","Kryptonite","Rock",98,233
2000,1,28,3,"Sisqo","Thong Song","Rock",121,245
2000,4,22,3,"Christina Aguilera","I Turn To You","Rock",129,240
1999,9,28,4,"Whitney Houston","My Love Is Your Love","Rock",82,256
2000,1,44,4,"Joe","I Wanna Know","Rock",136,297
1999,10,32,4,"Montell Jordan","Get It On.. Tonite","Rap",99,274
2000,1,23,4,"N'Sync","Bye Bye Bye","Rock",86,195
2000,5,19,4,"Eminem","The Real Slim Shady","Rap",104,282
2000,8,27,4,"Pink","Most Girls","Rock",97,246
2000,9,22,4,"Samantha Mumba","Gotta Tell You","Rock",110,199
1999,10,29,5,"Blaque","Bring It All To Me","Pop",88,226
1999,11,21,5,"Missy ""Misdemeanor"" Elliott","Hot Boyz","Rap",82,231
2000,2,27,5,"Macy Gray","I Try","Rock",76,232
2000,9,26,5,"N'Sync","This I Promise You","Rock",83,263
2000,7,26,5,"Ruff Endz","No More","Rock",84,236
2000,1,24,6,"Backstreet Boys, The","Show Me The Meaning Of Being Lonely","Rock",84,234
2000,5,27,6,"Nine Days","Absolutely (Story Of A Girl)","Rock",96,189
1999,11,28,6,"Celine Dion","That's The Way It Is","Rock",93,243
1999,12,23,6,"Blink-182","All The Small Things","Rock",148,172
1999,12,20,6,"Eiffel 65","Blue (Da Ba Dee)","Electronic",135,209
2000,8,20,6,"Erykah Badu","Bag Lady","Rock",84,303
2000,3,32,7,"Pink","There U Go","Rock",107,203
1999,9,56,7,"Creed","Higher","Rock",77,316
2000,4,34,7,"Nelly","(Hot S**t) Country Grammar","Rap",81,257
2000,5,21,7,"Next","Wifey","Rock",99,243
1999,12,5,7,"Kenny G","Auld Lang Syne (The Millenium Mix)","Jazz",110,470
2000,1,24,8,"Sonique","It Feels So Good","Rock",135,228
2000,4,20,9,"Britney Spears","Oops!.. I Did It Again","Rock",94,210
2000,10,20,9,"Backstreet Boys, The","Shape Of My Heart","Rock",96,229
2000,7,21,11,"Everclear","Wonderful","Rock",93,270
2000,9,20,11,"Ja Rule","Between Me And You","Rap",93,245
2000,5,25,11,"LeAnn Rimes","I Need You","Country",144,222
1999,10,26,11,"Smash Mouth","Then The Morning Comes","Rock",118,184
2000,10,21,11,"Jay-Z","I Just Wanna Love U (Give It 2 Me)","Rap",98,230
2000,5,24,11,"Jagged Edge","Let's Get Married","Rock",109,263
1999,11,20,12,"Filter","Take A Picture","Rock",99,263
2000,10,18,12,"Ricky Martin","She Bangs","Latin",143,242
2000,8,20,13,"Mystikal","Shake Ya Ass","Rap",98,286
2000,4,31,13,"BBMak","Back Here","Rock",106,215
2000,1,20,14,"Britney Spears","From The Bottom Of My Broken Heart","Rock",149,270
2000,1,22,14,"Third Eye Blind","Never Let You Go","Rock",113,237
2000,2,22,14,"Red Hot Chili Peppers","Otherside","Rock",124,253
2000,9,20,14,"Profyle","Liar","R&B",95,237
2000,9,21,15,"Barenaked Ladies","Pinch Me","Rock",95,226
1999,12,20,15,"Jagged Edge","He Can't Love U","Rock",100,210
2000,4,18,17,"504 Boyz","Wobble Wobble","Rap",85,215
2000,5,26,17,"Sting","Desert Rose","Rock",112,232
2000,4,20,18,"Jay-Z","Big Pimpin'","Rap",138,235
2000,2,20,19,"Kid Rock","Only God Knows Why","Rock",129,327
1999,10,21,19,"Foo Fighters","Learn To Fly","Rock",136,235
2000,3,15,19,"Dixie Chicks, The","Goodbye Earl","Country",123,259
1999,12,11,19,"Guy","Dancin'","R&B",100,248
2000,8,20,20,"Lil Bow Wow","Bounce With Me","Rap",143,202
2000,4,20,20,"Westlife","Swear It Again","Rock",129,247
1999,10,27,20,"Train","Meet Virginia","Rock",89,235
2000,3,20,20,"Carl Thomas","I Wish","Rock",89,230
2000,4,7,20,"Hanson","This Time Around","Country",83,254
2000,7,16,21,"Jessica Simpson","I Think I'm In Love With You","Pop",106,212
2000,9,22,21,"Ludacris","What's Your Fantasy","Rap",140,256
2000,7,13,21,"Lil' Zane","Callin' Me","Rap",119,223
1999,11,12,21,"M2M","Don't Say You Love Me","Pop",97,221
2000,7,24,22,"SoulDecision","Faded","Rock",107,205
2000,4,20,22,"Chad Brock","Yes!","Country",126,202
1999,11,18,22,"Ricky Martin","Shake Your Bon-Bon","Latin",100,188
2000,8,21,23,"Vertical Horizon","You're A God","Rock",96,225
2000,4,20,23,"Avant","Separated","Rock",108,253
1999,10,20,23,"LeAnn Rimes","Big Deal","Country",75,183
1999,10,20,23,"IMx","Stay The Night","Rap",93,217
2000,5,20,23,"Dr. Dre","The Next Episode","Rap",94,158
2000,8,11,23,"Britney Spears","Lucky","Rock",95,203
2000,4,20,24,"Savage Garden","Crash And Burn","Rock",102,281
2000,8,24,24,"Kandi","Don't Think I'm Not","Rock",134,230
2000,1,20,24,"Sammie","I Like It","Rock",129,249
2000,4,20,24,"Goo Goo Dolls","Broadway","Rock",133,234
2000,6,23,24,"Mandy Moore","I Wanna Be With You","Pop",75,252
2000,1,20,25,"Dr. Dre","Forgot About Dre","Rap",133,222
2000,1,17,25,"D'Angelo","Untitled (How Does It Feel)","R&B",112,430
2000,6,20,25,"Jo Dee Messina","That's The Way","Country",91,197
2000,11,20,26,"Avant","My First Love","Rock",126,268
2000,4,26,26,"Son By Four","A Puro Dolor (Purest Of Pain)","Latin",149,210
2000,6,20,26,"Da Brat","What'Chu Like","Rap",99,237
2000,2,21,27,"DMX","Party Up (Up In Here)","Rap",100,225
1999,11,20,27,"Dixie Chicks, The","Cowboy Take Me Away","Country",82,291
2000,10,20,27,"Tim McGraw","My Next Thirty Years","Country",98,217
2000,8,22,27,"Travis Tritt","Best Of Intentions","Country",99,255
2000,4,20,27,"Alice Deejay","Better Off Alone","Electronic",137,410
2000,2,14,27,"Hoku","Another Dumb Blonde","Pop",124,227
2000,2,11,27,"Whitney Houston","I Learned From The Best","Rock",74,258
1999,11,20,28,"Counting Crows","Hanginaround","Rock",91,247
2000,3,20,28,"Mary Mary","Shackles (Praise You)","Rock",100,192
2000,6,7,28,"Mariah Carey","Crybaby","Rock",79,319
1999,11,21,29,"Tim McGraw","My Best Friend","Country",147,273
2000,1,20,29,"Sugar Ray","Falls Apart","Rock",103,255
2000,2,9,29,"Madonna","American Pie","Rock",123,270
2000,4,20,29,"Donell Jones","Where I Wanna Be","Rock",102,382
2000,10,20,29,"Brad Paisley","We Danced","Country",146,225
2000,6,20,30,"Lonestar","What About Now","Country",125,210
2000,5,15,30,"Backstreet Boys, The","The One","Rock",110,226
2000,1,20,31,"Toby Keith","How Do You Like Me Now?!","Country",109,209
2000,1,20,31,"George Strait","The Best Day","Country",132,204
2000,10,20,31,"Dixie Chicks, The","Without You","Country",91,212
2000,10,20,31,"Musiq","Just Friends (Sunny)","Rap",94,242
1999,10,20,31,"Reba","What Do You Say","Country",85,206
2000,7,20,32,"Toni Braxton","Just Be A Man About It","Rock",109,250
1999,12,17,32,"Enrique Iglesias","Rhythm Divine","Latin",124,455
2000,6,17,32,"Lara Fabian","I Will Love Again","Pop",127,223
2000,8,20,33,"Bon Jovi","It's My Life","Rock",120,224
2000,10,20,34,"Sara Evans","Born To Fly","Country",100,336
2000,10,20,34,"Kenny Chesney","I Lost It","Country",138,234
1999,12,17,34,"J-Shin","One Night Stand","R&B",125,274
2000,1,16,34,"Eve","Love Is Blind","Rap",91,231
2000,1,20,35,"Aaliyah","I Don't Wanna","Rock",130,255
2000,9,20,35,"John Michael Montgomery","The Little Girl","Country",83,232
2000,8,15,35,"Aaron Carter","Aaron's Party (Come Get It)","R&B",117,203
2000,9,20,35,"Phil Vassar","Just Another Day In Paradise","Country",73,234
1999,12,12,35,"Ice Cube","You Can Do It","Rap",99,260
2000,1,18,36,"Mark Wills","Back At One","Country",129,240
2000,5,19,36,"Lucy Pearl","Dance Tonight","R&B",99,225
2000,6,20,37,"Alan Jackson","It Must Be Love","Country",112,173
2000,3,20,37,"Andy Griggs","She's More","Country",99,199
2000,7,13,38,"No Doubt","Simple Kind Of Life","Rock",119,251
2000,10,19,38,"Wyclef Jean","911","Rap",87,240
2000,5,20,38,"Rascal Flatts","Prayin' For Daylight","Country",90,216
2000,4,12,38,"Vitamin C","Graduation (Friends Forever)","Rock",80,263
2000,6,19,38,"Billy Gilman","One Voice","Country",149,247
1999,12,20,39,"Lonestar","Smile","Country",74,213
2000,3,20,40,"Kenny Rogers","Buy Me A Rose","Country",98,226
2000,1,20,40,"Tracy Lawrence","Lessons Learned","Country",124,175
2000,8,20,40,"George Strait","Go On","Country",104,228
1999,11,20,40,"Sisqo","Got To Get It","Rock",102,232
2000,7,20,40,"Baha Men","Who Let The Dogs Out","R&B",129,197
2000,4,20,40,"Clay Walker","The Chain Of Love","Country",70,303
2000,2,20,42,"Martina McBride","Love's The Only House","Country",122,313
1999,7,29,42,"Amber","Sexual (Li Da Di)","Rock",130,278
2000,8,20,42,"Aaron Tippin","Kiss This","Country",116,173
2000,7,20,43,"SheDaisy","I Will.. But","Country",112,220
2000,3,20,43,"Collin Raye","Couldn't Last A Moment","Country",96,220
2000,3,17,43,"Black Rob","Whoa!","Rap",86,244
1999,11,17,43,"Alan Jackson","Pop A Top","Country",118,184
2000,2,20,44,"Clint Black","Been There","Country",92,328
2000,8,19,44,"Common","The Light","Rap",94,235
2000,3,19,45,"Phil Vassar","Carlene","Country",129,247
2000,11,15,45,"Alan Jackson","www.memory","Country",94,156
2000,12,9,45,"Vitamin C","The Itch","Rock",105,210
2000,1,14,47,"Snoop Dogg Presents The Eastsidaz","G'D Up","Rap",97,267
2000,6,18,47,"Ideal","Whatever","R&B",101,228
2000,11,20,47,"Carl Thomas","Emotional","Rock",83,271
1999,12,15,48,"Ginuwine","None Of Ur Friends Business","Rock",99,252
2000,3,20,49,"Clay Davidson","Unconditional","Country",133,236
2000,7,20,49,"DMX","What You Want","Rap",83,245
2000,4,15,49,"Elton John","Someday Out Of The Blue","Rock",80,281
2000,5,6,49,"Pearl Jam","Nothing As It Seems","Rock",72,320
2000,4,17,50,"Mya","The Best Of Me","Rock",86,252
2000,4,20,50,"Eric Heatherly","Flowers On The Wall","Country",99,196
2000,11,15,51,"Eminem","Stan","Rap",80,326
2000,5,20,51,"Reba McEntire","I'll Be","Country",122,263
2000,2,17,51,"Jennifer Lopez","Feelin' Good","Latin",107,268
2000,7,16,51,"Keith Urban","Your Everything","Country",139,250
2000,2,7,51,"TLC","Dear Lie","Rock",86,276
2000,9,20,52,"Vince Gill","Feels Like Love","Country",99,253
